词语, 词性种类, 词义数, 词义序号, 情感分类, 强度, 极性, 辅助情感分类, 强度, 极性, , , 
兴利除弊, idiom, 1.0, 1.0, PH, 9.0, 1.0, PD, 1.0, 1.0, , , 
猫鼠同处, idiom, 1.0, 1.0, ND, 9.0, 2.0, NN, 3.0, 2.0, , , 
四海鼎沸, idiom, 1.0, 1.0, NE, 7.0, 2.0, , , , , , 
出疆载质, idiom, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
委国听令, idiom, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
国步艰难, idiom, 1.0, 1.0, NB, 7.0, 2.0, NN, 7.0, 2.0, , , 
立国安邦, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
溽热, adj, 1.0, 1.0, NN, 1.0, 2.0, NE, 1.0, 2.0, , , 
欢快, adj, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
如意, adj, 1.0, 1.0, PA, 3.0, 1.0, , , , , , 
得志, adj, 1.0, 1.0, PA, 3.0, 1.0, , , , , , 
好日子, noun, 1.0, 1.0, PH, 5.0, 1.0, PA, 3.0, 1.0, , , 
欢娱, adj, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
庆幸, verb, 1.0, 1.0, PA, 3.0, 1.0, , , , , , 
喜气, noun, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
兴高采烈, adj, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
快意, adj, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
艳福, noun, 1.0, 1.0, PA, 5.0, 0.0, , , , , , 
乐陶陶, adj, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
逗人, adj, 1.0, 1.0, PA, 5.0, 1.0, PB, 5.0, 1.0, , , 
眉开眼笑, adj, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
笑逐言开, adj, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
距跃三百, adj, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
鹊笑鸠舞, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
神采飞扬, adj, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
忍俊不禁, idiom, 1.0, 1.0, PA, 5.0, 0.0, , , , , , 
嫣然, adj, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
笑噱, verb, 1.0, 1.0, PA, 5.0, 0.0, , , , , , 
和颜悦色, idiom, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
胡敲梆子乱击磬－欢喜若狂, idiom, 1.0, 1.0, PA, 9.0, 0.0, , , , , , 
新媳妇怀孕－暗喜, idiom, 1.0, 1.0, PA, 5.0, 0.0, , , , , , 
侥幸, adj, 1.0, 1.0, PA, 3.0, 0.0, , , , , , 
五世其昌, idiom, 1.0, 1.0, PK, 5.0, 1.0, , , , , , 
安乐窝, noun, 1.0, 1.0, PA, 3.0, 1.0, , , , , , 
偏爱, verb, 1.0, 1.0, PB, 7.0, 0.0, , , , , , 
挂牵, verb, 1.0, 1.0, PB, 3.0, 1.0, , , , , , 
偏疼, verb, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
娇惯, verb, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
流连, verb, 1.0, 1.0, PB, 5.0, 0.0, , , , , , 
顾惜, verb, 1.0, 1.0, PB, 3.0, 0.0, , , , , , 
垂爱, verb, 1.0, 1.0, PB, 5.0, 0.0, , , , , , 
乐此不疲, idiom, 1.0, 1.0, PB, 5.0, 0.0, PA, 7.0, 1.0, , , 
兴味, noun, 1.0, 1.0, PB, 3.0, 0.0, , , , , , 
稀罕, adj, 1.0, 1.0, PB, 5.0, 1.0, , , , , , 
一见钟情, idiom, 1.0, 1.0, PB, 7.0, 0.0, , , , , , 
挺拔, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
歆慕, verb, 1.0, 1.0, PB, 3.0, 0.0, , , , , , 
心动, adj, 1.0, 1.0, PB, 3.0, 0.0, , , , , , 
温顺, adj, 1.0, 1.0, PH, 1.0, 1.0, , , , , , 
不忍释手, idiom, 1.0, 1.0, PB, 7.0, 1.0, , , , , , 
眷注, verb, 1.0, 1.0, PB, 3.0, 0.0, , , , , , 
束身自修, idiom, 1.0, 1.0, PB, 1.0, 1.0, PH, 3.0, 1.0, , , 
难舍难分, idiom, 1.0, 1.0, PB, 5.0, 1.0, , , , , , 
老牛舔犊, idiom, 1.0, 1.0, PB, 7.0, 1.0, , , , , , 
渴望, verb, 1.0, 1.0, PK, 7.0, 0.0, , , , , , 
热望, noun, 1.0, 1.0, PK, 5.0, 0.0, , , , , , 
乖乖, noun, 1.0, 1.0, PB, 5.0, 1.0, , , , , , 
和暖, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
温软, adj, 1.0, 1.0, PH, 1.0, 1.0, , , , , , 
温情脉脉, adj, 1.0, 1.0, PB, 5.0, 1.0, , , , , , 
可口, adj, 1.0, 1.0, PH, 1.0, 1.0, , , , , , 
奇妙, adj, 1.0, 1.0, PC, 5.0, 0.0, , , , , , 
尊崇, verb, 1.0, 1.0, PD, 9.0, 1.0, , , , , , 
崇敬, verb, 1.0, 1.0, PD, 7.0, 1.0, , , , , , 
称颂, verb, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
传颂, verb, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
颂扬, verb, 1.0, 1.0, PD, 7.0, 1.0, PH, 3.0, 1.0, , , 
先烈, noun, 1.0, 1.0, PF, 3.0, 1.0, PD, 5.0, 1.0, , , 
恭谨, adj, 1.0, 1.0, PD, 5.0, 1.0, , , , , , 
万寿无疆, idiom, 1.0, 1.0, PK, 5.0, 1.0, PD, 5.0, 1.0, , , 
福寿年高, idiom, 1.0, 1.0, PK, 3.0, 1.0, PD, 3.0, 1.0, , , 
老前辈, noun, 1.0, 1.0, PD, 5.0, 0.0, , , , , , 
从善如流, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
尊贵, adj, 1.0, 1.0, PD, 5.0, 1.0, PH, 1.0, 1.0, , , 
拜恳, verb, 1.0, 1.0, PK, 3.0, 1.0, , , , , , 
鼻祖, noun, 1.0, 1.0, PD, 7.0, 1.0, PG, 3.0, 1.0, , , 
和婉, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
怡和, adj, 1.0, 1.0, PA, 3.0, 0.0, , , , , , 
和顺, adj, 1.0, 1.0, PH, 5.0, 1.0, PE, 1.0, 1.0, , , 
娴静, adj, 1.0, 1.0, PE, 1.0, 1.0, PH, 1.0, 1.0, , , 
安逸, adj, 1.0, 1.0, PA, 3.0, 0.0, PE, 1.0, 1.0, , , 
安居乐业, adj, 1.0, 1.0, PE, 5.0, 1.0, PA, 3.0, 1.0, , , 
安适, noun, 1.0, 1.0, PE, 5.0, 1.0, PA, 1.0, 1.0, , , 
思念, verb, 1.0, 1.0, PF, 5.0, 0.0, , , , , , 
望眼欲穿, idiom, 1.0, 1.0, PF, 9.0, 1.0, , , , , , 
引人深思, idiom, 1.0, 1.0, PF, 3.0, 0.0, PH, 1.0, 1.0, , , 
妥靠, adj, 1.0, 1.0, PG, 3.0, 1.0, , , , , , 
铁定, adv, 1.0, 1.0, PG, 9.0, 0.0, NN, 1.0, 2.0, , , 
活脱脱, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
白璧无暇, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
标兵, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
不同凡响, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
诚挚, adj, 1.0, 1.0, PH, 5.0, 1.0, PG, 7.0, 1.0, , , 
出色, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
恳挚, adj, 1.0, 1.0, PH, 5.0, 1.0, PG, 5.0, 1.0, , , 
令人鼓舞, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
豪兴, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
善始善终, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
果断, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
机智, adj, 1.0, 1.0, PH, 5.0, 1.0, PB, 5.0, 1.0, , , 
健美, adj, 1.0, 1.0, PH, 1.0, 1.0, , , , , , 
侃侃而谈, verb, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
淳朴, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
大显神通, idiom, 1.0, 1.0, PH, 5.0, 1.0, PA, 5.0, 1.0, , , 
动听, adj, 1.0, 1.0, PH, 5.0, 1.0, PB, 3.0, 1.0, , , 
丰碑, noun, 1.0, 1.0, PH, 7.0, 1.0, PD, 3.0, 1.0, , , 
刚毅, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
夸奖, verb, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
肯切, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
力挽狂澜, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
流芳百世, adj, 1.0, 1.0, PH, 9.0, 1.0, PD, 5.0, 1.0, , , 
美不胜收, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
感人肺腑, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
敏捷, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
能干, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
果敢, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
挺秀, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
娇娆, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
妙趣横生, adj, 1.0, 1.0, PA, 3.0, 1.0, PH, 5.0, 1.0, , , 
披荆斩棘, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
气吞山河, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
前赴后继, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
勤勉, adj, 1.0, 1.0, PH, 1.0, 1.0, , , , , , 
热诚, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
日新月异, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
神采奕奕, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
盛名, noun, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
理解, verb, 1.0, 1.0, PH, 5.0, 0.0, , , , , , 
大义灭亲, adj, 1.0, 1.0, PH, 7.0, 0.0, , , , , , 
忠心, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
坦率, adj, 1.0, 1.0, PH, 5.0, 1.0, PB, 5.0, 1.0, , , 
推心置腹, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
文从字顺, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
无微不至, adv, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
闻名遐迩, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
严明, adj, 1.0, 1.0, PH, 1.0, 1.0, , , , , , 
硬朗, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
优美, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
惊佩, verb, 1.0, 1.0, PH, 5.0, 1.0, PD, 3.0, 1.0, , , 
整洁, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
周到, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
节烈, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
慈善, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
正大, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
堂堂正正, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
朴直, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
洁身自好, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
笃厚, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
憨厚, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
妥实, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
执着, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
不屈, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
勇武, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
初生牛犊, noun, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
大度, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
虚心, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
浩气, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
悃诚, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
肝胆相照, idiom, 1.0, 1.0, PG, 7.0, 1.0, , , , , , 
天公地道, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
儒雅, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
赳赳, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
好强, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
道德, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
倜傥, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
安分, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
脆生, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
赞扬, verb, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
矢志不渝, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
旱苗得雨, idiom, 1.0, 1.0, PA, 7.0, 0.0, , , , , , 
假以辞色, idiom, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
亲切, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
神韵, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
含蓼问疾, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
情同骨肉, adj, 1.0, 1.0, PB, 7.0, 0.0, , , , , , 
精确, adj, 1.0, 1.0, PH, 5.0, 0.0, , , , , , 
凉爽, adj, 1.0, 1.0, PH, 5.0, 0.0, , , , , , 
深思熟虑, adj, 1.0, 1.0, PH, 5.0, 0.0, , , , , , 
繁华, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
健壮, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
辽阔, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
轻捷, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
适当, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
香喷喷, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
雄厚, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
准确, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
清洌, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
宽大为怀, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
代代红, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
急若流星, adj, 1.0, 1.0, NI, 5.0, 0.0, , , , , , 
舍己救人, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
匡救, verb, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
驰援, verb, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
咏赞, verb, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
称道, verb, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
赞叹不已, verb, 1.0, 1.0, PH, 7.0, 1.0, PC, 7.0, 0.0, , , 
娟秀, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
秀媚, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
分外夺目, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
毫不利己, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
廉明, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
道不拾遗, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
圣人, noun, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
贤良, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
势不可当, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
惊天动地, adj, 1.0, 1.0, PC, 7.0, 0.0, , , , , , 
准儿, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
其味无穷, adj, 1.0, 1.0, PH, 9.0, 0.0, PB, 5.0, 1.0, , , 
入木三分, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
流芳千古, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
声名远播, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
有头有脸, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
精美绝伦, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
独占鳌头, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
一枝独秀, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
独具匠心, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
鹤立鸡群, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
不赖, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
钢铁长城, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
帮扶, verb, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
宝地, noun, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
报答, verb, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
辈出, verb, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
愤懑, adj, 1.0, 1.0, NA, 5.0, 2.0, NE, 5.0, 2.0, , , 
悲愤, adj, 1.0, 1.0, NA, 7.0, 0.0, NB, 7.0, 2.0, , , 
勃然大怒, adj, 1.0, 1.0, NA, 9.0, 0.0, , , , , , 
含怒, adj, 1.0, 1.0, NA, 3.0, 0.0, , , , , , 
恼羞成怒, adj, 1.0, 1.0, NA, 5.0, 0.0, , , , , , 
忿怒, adj, 1.0, 1.0, NA, 5.0, 0.0, , , , , , 
七窍生烟, adj, 1.0, 1.0, NA, 5.0, 0.0, , , , , , 
发标, verb, 1.0, 1.0, NA, 5.0, 0.0, , , , , , 
怒容, noun, 1.0, 1.0, NA, 5.0, 0.0, , , , , , 
吹胡子, idiom, 1.0, 1.0, NA, 7.0, 0.0, , , , , , 
唱老生的生气－吹胡子瞪眼镜, idiom, 1.0, 1.0, NA, 7.0, 0.0, , , , , , 
暴跳如雷, adj, 1.0, 1.0, NA, 9.0, 2.0, , , , , , 
戟指怒目, adj, 1.0, 1.0, NA, 7.0, 2.0, , , , , , 
怒形于色, adj, 1.0, 1.0, NA, 3.0, 2.0, , , , , , 
怒目切齿, adj, 1.0, 1.0, NA, 5.0, 2.0, , , , , , 
城下之盟, noun, 1.0, 1.0, NE, 7.0, 2.0, , , , , , 
悲恸, adj, 1.0, 1.0, NB, 7.0, 0.0, , , , , , 
悲哀, adj, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
悲伤, adj, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
衔冤, adj, 1.0, 1.0, NE, 7.0, 0.0, NB, 7.0, 2.0, , , 
心如刀割, adj, 1.0, 1.0, NB, 9.0, 0.0, , , , , , 
痛惜, verb, 1.0, 1.0, NB, 7.0, 0.0, NJ, 1.0, 2.0, , , 
悲酸, adj, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
举目无亲, adj, 1.0, 1.0, NB, 3.0, 0.0, , , , , , 
洒泪, verb, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
啜泣, verb, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
号啕, verb, 1.0, 1.0, NB, 9.0, 0.0, , , , , , 
最后一根稻草, idiom, 1.0, 1.0, NI, 7.0, 0.0, NB, 1.0, 2.0, , , 
抚髀兴叹, idiom, 1.0, 1.0, NB, 3.0, 2.0, , , , , , 
参辰卯酉, idiom, 1.0, 1.0, ND, 7.0, 0.0, , , , , , 
倒霉, adj, 1.0, 1.0, NB, 3.0, 0.0, , , , , , 
哀感天地, idiom, 1.0, 1.0, NB, 7.0, 0.0, , , , , , 
惨不忍闻, adj, 1.0, 1.0, NB, 9.0, 0.0, , , , , , 
不胜其苦, idiom, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
叹息, verb, 1.0, 1.0, NJ, 3.0, 0.0, , , , , , 
悲号, verb, 1.0, 1.0, NB, 7.0, 0.0, , , , , , 
诚惶诚恐, idiom, 1.0, 1.0, NC, 5.0, 0.0, NI, 3.0, 2.0, , , 
魂飞魄散, idiom, 1.0, 1.0, NC, 9.0, 0.0, NI, 5.0, 2.0, , , 
面如土色, idiom, 1.0, 1.0, NC, 9.0, 0.0, , , , , , 
疑惧, adj, 1.0, 1.0, NC, 3.0, 0.0, , , , , , 
幽灵, adj, 1.0, 1.0, NC, 1.0, 0.0, , , , , , 
三伏天发抖－不寒而栗, idiom, 1.0, 1.0, NC, 5.0, 0.0, , , , , , 
吞吞吐吐, idiom, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
不可终日, idiom, 1.0, 1.0, NC, 7.0, 0.0, , , , , , 
栗栗危惧, idiom, 1.0, 1.0, NC, 5.0, 0.0, , , , , , 
夏日可畏, idiom, 1.0, 1.0, NC, 3.0, 2.0, , , , , , 
败类, noun, 1.0, 1.0, NN, 7.0, 1.0, , , , , , 
剥削, verb, 1.0, 1.0, ND, 3.0, 2.0, NN, 5.0, 2.0, , , 
猖獗, adj, 1.0, 1.0, ND, 3.0, 2.0, , , , , , 
臭架子, noun, 1.0, 1.0, ND, 1.0, 2.0, , , , , , 
苟延残喘, idiom, 1.0, 1.0, ND, 1.0, 2.0, , , , , , 
悍然, adv, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
伎俩, noun, 1.0, 1.0, ND, 3.0, 2.0, , , , , , 
党羽, noun, 1.0, 1.0, ND, 3.0, 2.0, , , , , , 
讹诈, verb, 1.0, 1.0, ND, 5.0, 2.0, NN, 7.0, 2.0, , , 
飞扬跋扈, adj, 1.0, 1.0, NN, 3.0, 2.0, ND, 7.0, 2.0, , , 
复辟, verb, 1.0, 1.0, ND, 1.0, 2.0, , , , , , 
老狐狸, noun, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
笼络, verb, 1.0, 1.0, ND, 3.0, 2.0, NN, 5.0, 2.0, , , 
厌恶, verb, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
可憎, adj, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
叛徒, noun, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
欺凌, verb, 1.0, 1.0, ND, 3.0, 2.0, NN, 5.0, 2.0, , , 
敲诈, verb, 1.0, 1.0, ND, 5.0, 2.0, NN, 5.0, 2.0, , , 
屈辱, noun, 1.0, 1.0, ND, 3.0, 2.0, , , , , , 
轻蔑, verb, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
撒赖, verb, 1.0, 1.0, NN, 3.0, 2.0, ND, 1.0, 2.0, , , 
伤天害理, idiom, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
为所欲为, idiom, 1.0, 1.0, ND, 5.0, 2.0, NN, 3.0, 2.0, , , 
乌合之众, idiom, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
吸血鬼, noun, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
阴谋, noun, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
指鹿为马, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
罪有应得, idiom, 1.0, 1.0, ND, 5.0, 2.0, PA, 3.0, 1.0, , , 
看轻, verb, 1.0, 1.0, ND, 1.0, 2.0, , , , , , 
兽行, noun, 1.0, 1.0, ND, 7.0, 2.0, NN, 9.0, 2.0, , , 
贪色, adj, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
作践, verb, 1.0, 1.0, ND, 9.0, 2.0, , , , , , 
凶相毕露, idiom, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
棺材老板咬牙－恨不死人, idiom, 1.0, 1.0, ND, 3.0, 2.0, , , , , , 
行同狗彘, adj, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
视如寇仇, idiom, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
切齿腐心, idiom, 1.0, 1.0, ND, 9.0, 2.0, , , , , , 
令人作呕, adj, 1.0, 1.0, ND, 9.0, 2.0, , , , , , 
不以为然, adj, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
文人相轻, idiom, 1.0, 1.0, ND, 3.0, 2.0, , , , , , 
王八蛋, noun, 1.0, 1.0, ND, 7.0, 2.0, NA, 7.0, 2.0, , , 
姘妇, noun, 1.0, 1.0, ND, 3.0, 2.0, NN, 5.0, 2.0, , , 
揶揄, verb, 1.0, 1.0, ND, 3.0, 2.0, NN, 1.0, 2.0, , , 
癞皮狗, noun, 1.0, 1.0, ND, 7.0, 2.0, NN, 5.0, 2.0, , , 
元凶, noun, 1.0, 1.0, ND, 3.0, 2.0, , , , , , 
妖孽, noun, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
骚货, noun, 1.0, 1.0, ND, 9.0, 2.0, NN, 9.0, 2.0, , , 
中伤, verb, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
嘈杂, adj, 1.0, 1.0, NN, 1.0, 2.0, , , , , , 
苦恼, adj, 1.0, 1.0, NE, 5.0, 0.0, , , , , , 
犯愁, adj, 1.0, 1.0, NE, 1.0, 0.0, , , , , , 
颓然, adj, 1.0, 1.0, NE, 1.0, 0.0, NB, 5.0, 2.0, , , 
忍气吞声, verb, 1.0, 1.0, NE, 7.0, 0.0, , , , , , 
不耐烦, adj, 1.0, 1.0, NE, 5.0, 0.0, , , , , , 
焦炙, adj, 1.0, 1.0, NE, 7.0, 0.0, NI, 1.0, 2.0, , , 
疑念, noun, 1.0, 1.0, NE, 1.0, 0.0, , , , , , 
愧恨, adj, 1.0, 1.0, NE, 7.0, 0.0, NH, 5.0, 2.0, , , 
沉寂, adj, 1.0, 1.0, NE, 7.0, 0.0, , , , , , 
愁肠寸断, idiom, 1.0, 1.0, NE, 9.0, 2.0, , , , , , 
忧心如薰, idiom, 1.0, 1.0, NE, 7.0, 2.0, , , , , , 
生吞蜈蚣－百爪挠心, idiom, 1.0, 1.0, NE, 9.0, 2.0, , , , , , 
贫穷, adj, 1.0, 1.0, NE, 5.0, 0.0, NB, 5.0, 2.0, , , 
无所措手足, idiom, 1.0, 1.0, NE, 5.0, 2.0, , , , , , 
不如意事常八九, idiom, 1.0, 1.0, NE, 3.0, 2.0, , , , , , 
燥热, adj, 1.0, 1.0, NE, 3.0, 2.0, NN, 1.0, 2.0, , , 
将就, idiom, 1.0, 1.0, NE, 1.0, 0.0, , , , , , 
羞愧, adj, 1.0, 1.0, NG, 5.0, 0.0, NH, 3.0, 2.0, , , 
脸红, adj, 1.0, 1.0, NG, 3.0, 0.0, , , , , , 
无面目见江东父老, idiom, 1.0, 1.0, NG, 9.0, 2.0, , , , , , 
抱愧, adj, 1.0, 1.0, NH, 3.0, 0.0, , , , , , 
愧怍, adj, 1.0, 1.0, NH, 5.0, 0.0, , , , , , 
悔恨, adj, 1.0, 1.0, NH, 9.0, 0.0, , , , , , 
涵容, adj, 1.0, 1.0, PK, 1.0, 0.0, , , , , , 
愧悔无地, idiom, 1.0, 1.0, NH, 9.0, 0.0, , , , , , 
船到江心补漏迟, idiom, 1.0, 1.0, NH, 9.0, 2.0, , , , , , 
